seq1,seq2,similarity
7,134,0.60305834
32,82,0.6359464
32,74,0.6045512
32,41,0.52294284
16,134,0.4498152
61,158,0.5403032
83,176,0.3980161
61,69,0.5409723
30,198,0.488154
78,165,0.3852208
30,47,0.6205555
30,118,0.5439876
9,73,0.4653258
9,77,0.3541367
65,125,0.2629128
9,36,0.56857985
9,14,0.44214374
58,112,0.4283494
58,109,0.3169634
58,191,0.4955155
58,185,0.60799146
37,91,0.61749625
53,102,0.5147548
37,136,0.67445904
37,114,0.32667124
91,162,0.5102341
91,179,0.59315187
95,190,0.5357824
87,180,0.666864
43,121,0.5408433
43,184,0.6314457
43,132,0.48993838
14,78,0.49836415
15,125,0.42490715
14,156,0.55291516
15,144,0.53229177
15,37,0.52122116
63,156,0.44326025
22,110,0.5269938
22,24,0.54580516
22,194,0.4402146
49,107,0.51911813
49,89,0.49391422
28,185,0.56327367
28,114,0.19395863
49,142,0.60406137
96,186,0.4601051
60,81,0.5096357
96,153,0.4528879
60,176,0.39039335
77,85,0.42420867
2,154,0.48429665
2,71,0.49495286
2,173,0.5582853
88,190,0.54929376
86,179,0.49128082
86,180,0.3642905
82,120,0.65284264
82,121,0.6344589
82,83,0.60735184
36,95,0.4661935
45,149,0.51672393
36,99,0.759875
36,150,0.6404914
67,176,0.43859422
99,114,0.28296322
99,104,0.76447046
67,163,0.7383928
31,167,0.50659186
31,151,0.3707528
41,78,0.51300025
41,178,0.4517708
18,198,0.4745536
18,86,0.46691474
18,105,0.39844304
81,195,0.46980676
81,156,0.41408297
59,146,0.5323194
59,132,0.4433661
40,117,0.4585014
40,92,0.53626746
74,133,0.32579836
74,93,0.33001223
57,156,0.4795386
57,175,0.4395536
24,145,0.5586697
24,79,0.5760704
6,59,0.6340104
6,136,0.5610779
6,43,0.6319579
47,165,0.40078267
47,131,0.3450957
70,132,0.4143329
70,115,0.5870874
48,155,0.54002625
48,143,0.62607336
44,78,0.53381425
44,170,0.340966
79,132,0.48775932
79,104,0.57794076
62,107,0.50229317
62,188,0.5522851
1,161,0.27010107
1,145,0.36296654
1,70,0.34157628
11,170,0.42527694
11,189,0.46878034
33,46,0.4357273
33,66,0.43463793
148,152,0.47184032
175,191,0.5403944
120,161,0.46001425
146,173,0.54868567
123,126,0.5596524
124,133,0.51838005
166,199,0.64079034
155,191,0.5671024
158,177,0.43647656
145,164,0.35481757
121,168,0.5183758
150,184,0.6421616
178,189,0.5148972
135,194,0.36518195
136,147,0.50443643
109,118,0.334644
157,185,0.5416826
118,152,0.40884295
116,117,0.4813311
104,121,0.44630203
104,159,0.3877332
153,184,0.6432599
117,154,0.30016354
117,182,0.48120517
122,159,0.48630548
102,136,0.59296143
111,188,0.5018178
101,109,0.4238869
113,167,0.51883376
107,121,0.34788406
167,176,0.44728905
164,181,0.23096839
106,154,0.4554143
106,194,0.4812873
174,193,0.51406974
149,167,0.55027443
115,180,0.56942475
108,136,0.581532
100,147,0.46367484
100,183,0.6169081
159,191,0.37609282
165,191,0.35273442
147,152,0.5411291
147,182,0.49489263
114,176,0.3459146
103,136,0.60489225
103,182,0.53920895
143,154,0.4861614
110,189,0.6341303
110,118,0.57548267
179,196,0.50157326
125,188,0.48411217
127,170,0.23546305
176,186,0.41638985
131,149,0.38430765
140,185,0.61785305
134,158,0.38763124
163,194,0.45244363
152,181,0.5718122
128,171,0.6222825
126,144,0.57507306
130,197,0.44982472
142,165,0.3810358
177,195,0.4615188
138,194,0.4116004
139,186,0.43768197
112,121,0.6020258
119,151,0.5042533
133,157,0.334561
129,132,0.5008834
132,181,0.44177657
27,79,0.44033867
27,197,0.33837894
35,36,0.6880047
35,42,0.4681967
89,176,0.34024942
89,115,0.53064966
23,199,0.4799444
23,116,0.47561392
97,108,0.379256
97,157,0.4468787
3,86,0.44847232
3,109,0.5825149
3,148,0.5146005
80,145,0.63672096
80,156,0.5576563
42,126,0.4109778
42,184,0.50355685
98,134,0.57283956
0,44,0.19250524
